순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수(천주),외국인 보유주식수,외국인 지분율(%),총카운트
373,003850,보령제약,"53,000","-2,600","-4.7","89,732","4,870,808,900","53,100","56,500","52,900","468,520,000,000","0.02","8,840,000",,,
374,082270,젬백스,"14,950","-1,100","-6.8","753,716","11,616,051,100","15,100","15,950","14,950","467,530,467,950","0.02","31,272,941",,,
375,001820,삼화콘덴서,"44,900","-2,500","-5.3","566,910","26,065,105,450","46,500","47,050","44,800","466,735,500,000","0.02","10,395,000",,,
376,025900,동화기업,"32,500","-1,550","-4.6","44,858","1,482,824,200","33,250","34,150","32,500","466,594,570,000","0.02","14,356,756",,,
377,034120,SBS,"25,550","-850","-3.2","28,383","728,753,000","26,150","26,150","25,350","466,353,470,100","0.02","18,252,582",,,
378,025770,한국정보통신,"12,000","-750","-5.9","144,515","1,807,391,100","12,500","12,950","12,000","465,752,916,000","0.02","38,812,743",,,
379,009290,광동제약,"8,830","-310","-3.4","136,905","1,226,286,880","9,020","9,080","8,810","462,876,114,330","0.02","52,420,851",,,
380,006060,화승인더,"8,360","-380","-4.4","571,506","4,792,381,700","8,680","8,690","8,270","462,475,200,000","0.02","55,320,000",,,
381,004690,삼천리,"114,000","-5,000","-4.2","3,901","450,008,000","118,000","119,500","113,000","462,272,850,000","0.02","4,055,025",,,
382,222040,뉴트리바이오텍,"22,350","-1,400","-5.9","216,898","4,962,149,800","23,200","23,850","22,300","461,035,800,000","0.02","20,628,000",,,
383,249420,일동제약,"23,400","-1,250","-5.1","160,033","3,796,024,050","24,000","24,200","23,300","459,325,432,800","0.02","19,629,292",,,
384,072710,농심홀딩스,"98,800","-1,700","-1.7","6,408","637,004,100","100,000","100,500","98,800","458,213,652,000","0.02","4,637,790",,,
385,078520,에이블씨엔씨,"18,350","-1,150","-5.9","115,706","2,171,389,300","18,700","19,200","18,350","455,505,041,050","0.02","24,823,163",,,
386,049960,쎌바이오텍,"48,350","-1,350","-2.7","58,813","2,911,267,750","48,500","50,400","48,350","454,490,000,000","0.02","9,400,000",,,
387,004490,세방전지,"32,400","-650","-2.0","19,916","647,404,700","32,800","33,000","32,400","453,600,000,000","0.02","14,000,000",,,
388,003800,에이스침대,"203,500","2,200","1.1","24","4,835,600","201,300","203,500","201,300","451,363,000,000","0.02","2,218,000",,,
389,091700,파트론,"8,310","-280","-3.3","541,969","4,619,924,100","8,500","8,720","8,310","450,039,767,100","0.02","54,156,410",,,
390,210980,SK디앤디,"27,450","-700","-2.5","39,047","1,082,038,950","27,950","27,950","27,450","443,454,750,000","0.02","16,155,000",,,
391,191420,테고사이언스,"109,500","-10,000","-8.4","109,433","12,340,722,700","114,000","116,200","107,400","442,086,211,500","0.02","4,037,317",,,
392,063080,게임빌,"67,000","-3,300","-4.7","88,398","6,063,259,200","68,000","69,900","67,000","441,877,864,000","0.02","6,595,192",,,
393,006120,SK디스커버리,"40,950","-1,750","-4.1","136,376","5,644,113,500","41,350","42,300","40,750","441,616,388,850","0.02","10,784,283",,,
394,033270,유나이티드제약,"27,000","-1,000","-3.6","78,974","2,150,380,250","27,050","27,650","27,000","437,597,694,000","0.02","16,207,322",,,
395,036580,팜스코,"11,850","-450","-3.7","32,035","383,986,300","12,200","12,250","11,850","435,226,124,550","0.02","36,727,943",,,
396,078020,이베스트투자증권,"10,750","-50","-0.5","2,893","30,972,750","10,900","10,900","10,650","435,172,792,500","0.02","40,481,190",,,
397,001520,동양,"1,820","-45","-2.4","477,416","873,827,105","1,850","1,855","1,820","434,404,994,660","0.02","238,684,063",,,
398,038290,마크로젠,"40,850","-5,750","-12.3","816,201","34,935,629,250","44,100","45,250","40,000","432,824,295,900","0.02","10,595,454",,,
399,004380,삼익THK,"20,600","-1,300","-5.9","95,643","1,992,146,200","21,500","21,500","20,300","432,600,000,000","0.02","21,000,000",,,
400,016580,환인제약,"23,250","-1,350","-5.5","170,138","4,038,949,050","23,900","24,300","23,150","432,451,627,500","0.02","18,600,070",,,
401,002960,한국쉘석유,"332,500","-4,000","-1.2","1,536","512,658,500","335,000","336,500","332,500","432,250,000,000","0.02","1,300,000",,,
402,019170,신풍제약,"8,150","-710","-8.0","1,469,892","12,155,702,050","8,600","8,600","7,950","431,827,668,500","0.02","52,984,990",,,
403,101530,해태제과식품,"14,800","-500","-3.3","44,085","662,626,150","15,100","15,300","14,800","430,928,965,600","0.02","29,116,822",,,
404,084370,유진테크,"18,750","-1,150","-5.8","248,123","4,751,325,300","19,600","19,850","18,550","429,675,787,500","0.02","22,916,042",,,
405,063570,한국전자금융,"12,400","50","0.4","661,466","8,097,472,700","11,950","12,600","11,750","429,607,027,200","0.02","34,645,728",,,
406,025620,제이준코스메틱,"16,200","-850","-5.0","579,901","9,593,650,350","16,400","17,000","16,200","429,026,268,600","0.02","26,483,103",,,
407,066700,테라젠이텍스,"14,000","-400","-2.8","2,167,823","29,826,819,000","13,500","14,650","13,100","428,584,884,000","0.02","30,613,206",,,
408,085370,루트로닉,"17,400","-650","-3.6","1,046,353","18,575,793,350","17,250","18,500","17,200","426,154,362,000","0.02","24,491,630",,,
409,011810,STX,"23,850","0","0.0","0","0","0","0","0","426,018,955,500","0.02","17,862,430",,,
410,000400,롯데손해보험,"3,160","-215","-6.4","846,694","2,737,007,690","3,305","3,320","3,145","424,324,800,000","0.02","134,280,000",,,
411,119610,인터로조,"39,350","-700","-1.8","41,870","1,666,539,900","40,200","40,600","39,350","424,035,600,000","0.02","10,776,000",,,
412,218410,RFHIC,"19,100","-450","-2.3","125,828","2,394,097,050","18,800","19,600","18,650","423,522,024,800","0.02","22,173,928",,,
413,023890,아트라스BX,"46,100","-400","-0.9","1,059","48,823,800","46,050","46,500","45,950","421,815,000,000","0.02","9,150,000",,,
414,017390,서울가스,"84,100","-1,600","-1.9","235","19,950,700","85,000","85,500","84,100","420,500,000,000","0.02","5,000,000",,,
415,051370,인터플렉스,"18,000","-3,650","-16.9","2,504,769","47,737,170,550","18,950","20,250","17,650","419,894,496,000","0.02","23,327,472",,,
416,013120,동원개발,"4,590","-25","-0.5","162,136","742,671,415","4,540","4,620","4,535","416,809,179,000","0.02","90,808,100",,,
417,281820,케이씨텍,"21,000","-900","-4.1","110,046","2,310,701,850","21,450","21,600","20,600","416,626,140,000","0.02","19,839,340",,,
418,033660,아주캐피탈,"7,140","-90","-1.2","40,612","287,793,340","7,200","7,200","7,010","410,877,654,600","0.02","57,545,890",,,
419,206640,바디텍메드,"17,600","-1,850","-9.5","372,056","6,837,009,650","18,700","19,050","17,550","410,102,651,200","0.02","23,301,287",,,
420,068240,다원시스,"16,850","-1,050","-5.9","595,365","10,259,824,050","17,250","17,700","16,800","409,406,842,700","0.02","24,297,142",,,
421,011690,유양디앤유,"7,330","-430","-5.5","633,210","4,773,939,470","7,450","7,840","7,240","408,956,158,970","0.02","55,792,109",,,
422,092730,네오팜,"54,700","-1,300","-2.3","32,888","1,814,196,600","54,400","55,900","54,400","408,129,663,900","0.02","7,461,237",,,
423,014830,유니드,"45,750","-950","-2.0","20,880","955,188,950","45,900","46,350","45,200","406,710,317,250","0.02","8,889,843",,,
424,016250,이테크건설,"145,000","-3,200","-2.2","10,122","1,486,835,100","147,100","148,300","145,000","406,000,000,000","0.02","2,800,000",,,
425,010050,우리종금,"602","-30","-4.8","2,635,496","1,615,624,572","621","630","599","405,870,450,412","0.02","674,203,406",,,
426,009580,무림P&P,"6,500","-120","-1.8","319,725","2,071,495,790","6,460","6,570","6,370","405,394,106,000","0.02","62,368,324",,,
427,005420,코스모화학,"27,100","-950","-3.4","426,996","11,578,373,650","27,200","27,900","26,650","405,373,832,400","0.02","14,958,444",,,
428,265520,AP시스템,"29,100","-1,450","-4.8","222,762","6,598,424,500","30,000","30,100","29,100","404,467,069,200","0.02","13,899,212",,,
429,101060,SBS미디어홀딩스,"2,890","-125","-4.2","130,970","383,526,095","2,990","2,990","2,890","404,299,989,100","0.02","139,896,190",,,
430,234080,JW생명과학,"51,000","-1,900","-3.6","46,478","2,404,581,600","51,500","53,000","50,900","403,781,127,000","0.02","7,917,277",,,
431,000540,흥국화재,"6,280","10","0.2","99,221","617,029,400","6,080","6,360","6,080","403,443,810,600","0.02","64,242,645",,,
432,008060,대덕전자,"8,250","-170","-2.0","117,145","970,514,830","8,350","8,350","8,250","402,569,475,000","0.02","48,796,300",,,
433,051500,CJ프레시웨이,"33,650","-950","-2.8","26,217","897,592,100","33,900","34,800","33,650","399,478,868,900","0.02","11,871,586",,,
434,033290,코웰패션,"4,410","-190","-4.1","438,379","1,960,870,435","4,475","4,625","4,375","399,106,031,940","0.02","90,500,234",,,
435,208640,썸에이지,"5,240","-400","-7.1","1,609,966","8,582,243,490","5,450","5,550","5,140","398,347,571,960","0.02","76,020,529",,,
436,017940,E1,"58,000","-600","-1.0","7,741","451,661,900","58,800","59,200","57,700","397,880,000,000","0.02","6,860,000",,,
437,168330,내츄럴엔도텍,"19,550","-600","-3.0","294,562","5,912,566,400","19,500","20,900","19,500","395,516,832,000","0.02","20,231,040",,,
438,214150,클래시스,"6,490","-400","-5.8","1,068,896","7,347,798,120","6,800","7,120","6,490","392,470,269,730","0.02","60,473,077",,,
439,074600,원익QnC,"14,850","-800","-5.1","195,092","2,970,970,250","15,250","15,600","14,850","390,376,800,000","0.02","26,288,000",,,
440,082740,두산엔진,"5,600","-130","-2.3","1,001,620","5,703,377,090","5,630","5,900","5,510","389,200,000,000","0.02","69,500,000",,,
441,213420,덕산네오룩스,"16,200","-800","-4.7","377,838","6,256,527,850","16,300","17,050","16,100","388,962,194,400","0.02","24,010,012",,,
442,166090,하나머티리얼즈,"40,900","-1,750","-4.1","114,360","4,683,804,550","41,700","42,100","40,450","388,948,243,300","0.02","9,509,737",,,
443,005810,풍산홀딩스,"49,550","-1,050","-2.1","15,279","763,700,550","50,100","50,100","49,550","388,232,524,850","0.02","7,835,167",,,
444,008730,율촌화학,"15,650","-400","-2.5","71,656","1,126,827,800","15,950","16,100","15,450","388,120,000,000","0.02","24,800,000",,,
445,010955,S-Oil우,"96,500","-1,200","-1.2","11,650","1,127,704,200","97,500","97,500","96,500","388,115,955,500","0.02","4,021,927",,,
446,023410,유진기업,"5,190","-310","-5.6","1,038,964","5,529,947,780","5,370","5,460","5,150","388,053,051,060","0.02","74,769,374",,,
447,015350,부산가스,"35,250","-550","-1.5","20,352","714,786,050","35,400","35,500","34,950","387,750,000,000","0.02","11,000,000",,,
448,089030,테크윙,"21,050","-900","-4.1","281,755","5,990,942,750","21,200","21,700","20,950","387,499,093,400","0.02","18,408,508",,,
449,041140,넥슨지티,"10,950","-750","-6.4","307,972","3,473,716,600","11,400","11,600","10,900","387,337,875,900","0.02","35,373,322",,,
450,002990,금호산업,"10,800","-650","-5.7","271,982","2,982,914,700","11,300","11,300","10,700","387,174,891,600","0.02","35,849,527",,,
451,064240,홈캐스트,"11,950","-1,300","-9.8","2,212,148","27,845,482,450","12,750","13,200","11,850","385,039,671,350","0.02","32,220,893",,,
452,006620,동구바이오제약,"40,000","-2,850","-6.6","537,160","22,036,991,600","41,300","42,200","39,850","384,160,000,000","0.02","9,604,000",,,
453,053030,바이넥스,"12,250","-1,350","-9.9","2,400,920","30,808,871,250","13,000","13,600","12,100","383,528,488,000","0.02","31,308,448",,,
454,003220,대원제약,"20,050","-1,200","-5.6","108,208","2,221,213,250","20,600","21,000","20,000","382,927,050,300","0.02","19,098,606",,,
455,099190,아이센스,"27,800","-1,050","-3.6","81,420","2,320,888,950","28,550","29,300","27,800","381,811,816,400","0.02","13,734,238",,,
456,091090,세원셀론텍,"6,260","250","4.2","9,476,026","59,685,337,760","5,730","6,850","5,710","381,802,357,920","0.02","60,990,792",,,
457,003560,IHQ,"2,625","-190","-6.8","2,520,370","6,851,782,745","2,725","2,755","2,625","381,027,929,625","0.02","145,153,497",,,
458,005720,넥센,"7,100","-160","-2.2","82,965","592,388,460","7,180","7,180","7,070","380,162,236,700","0.02","53,543,977",,,
459,035810,이지바이오,"6,550","-450","-6.4","1,538,970","10,363,260,270","6,820","6,900","6,550","379,424,149,050","0.02","57,927,351",,,
460,001725,신영증권우,"53,600","-900","-1.6","4,374","234,976,700","53,900","54,000","53,400","378,081,696,800","0.02","7,053,763",,,
461,079980,휴비스,"10,950","-550","-4.8","301,628","3,421,769,200","11,300","11,650","10,950","377,775,000,000","0.02","34,500,000",,,
462,183190,아세아시멘트,"96,700","-1,500","-1.5","19,816","1,890,437,700","97,300","97,800","94,100","376,724,730,300","0.02","3,895,809",,,
463,00088K,한화3우B,"16,700","-400","-2.3","114,827","1,932,313,500","16,950","17,050","16,550","375,282,400,000","0.02","22,472,000",,,
464,102460,이연제약,"22,350","-1,850","-7.6","81,020","1,869,252,150","23,300","23,700","22,350","374,809,500,000","0.02","16,770,000",,,
465,140410,메지온,"43,850","-2,150","-4.7","123,312","5,485,129,950","44,200","46,400","42,800","374,366,656,300","0.02","8,537,438",,,
466,016800,퍼시스,"32,550","-50","-0.2","970","31,472,000","32,300","32,600","32,200","374,325,000,000","0.02","11,500,000",,,
467,010170,대한광통신,"6,250","-200","-3.1","1,480,264","9,273,784,740","6,210","6,390","6,170","373,385,156,250","0.02","59,741,625",,,
468,038500,삼표시멘트,"3,470","-30","-0.9","219,304","763,108,285","3,450","3,535","3,420","372,529,390,310","0.02","107,357,173",,,
469,003060,에이프로젠제약,"4,300","-200","-4.4","2,780,101","12,278,121,740","4,335","4,560","4,265","371,780,592,900","0.02","86,460,603",,,
470,001510,SK증권,"1,160","-50","-4.1","4,635,971","5,415,843,020","1,185","1,185","1,160","371,335,918,360","0.02","320,117,171",,,
471,006380,카프로,"9,280","-570","-5.8","1,080,846","10,182,751,580","9,490","9,630","9,270","371,200,000,000","0.02","40,000,000",,,
472,080420,모다이노칩,"9,310","-490","-5.0","96,995","925,834,200","9,700","9,930","9,260","371,104,150,410","0.02","39,860,811",,,
473,213500,한솔제지,"15,550","-350","-2.2","148,434","2,300,394,650","15,600","15,750","15,250","370,098,956,800","0.02","23,800,576",,,
474,044490,태웅,"18,450","-1,250","-6.4","153,954","2,950,665,050","19,350","20,150","18,450","369,136,179,450","0.02","20,007,381",,,
475,000050,경방,"13,450","-500","-3.6","28,839","394,547,250","13,900","13,900","13,450","368,735,381,500","0.02","27,415,270",,,
476,016100,리더스코스메틱,"20,550","-650","-3.1","365,023","7,673,046,650","20,500","21,700","20,350","368,657,074,350","0.02","17,939,517",,,
477,174900,앱클론,"54,100","-9,000","-14.3","355,022","20,394,522,100","58,000","60,600","53,700","367,880,000,000","0.02","6,800,000",,,
478,203690,프로스테믹스,"8,100","-820","-9.2","1,461,519","12,236,440,470","8,520","8,650","8,000","367,536,017,700","0.02","45,374,817",,,
479,067630,에이치엘비생명과학,"13,750","1,350","10.9","4,857,828","62,502,435,750","11,800","15,200","11,350","366,807,498,750","0.02","26,676,909",,,
480,200670,휴메딕스,"41,050","-3,000","-6.8","68,963","2,929,458,400","42,300","43,550","41,050","366,086,034,600","0.02","8,918,052",,,
481,104830,원익머트리얼즈,"58,000","-3,000","-4.9","32,226","1,919,984,200","60,600","62,000","58,000","365,632,000,000","0.02","6,304,000",,,
482,002000,한국유리,"36,150","550","1.5","3,709","133,457,350","35,300","36,450","34,900","364,379,709,000","0.02","10,079,660",,,
483,123420,선데이토즈,"38,000","-2,300","-5.7","296,563","11,596,148,350","39,050","40,200","37,950","363,653,996,000","0.02","9,569,842",,,
484,060570,아이리버,"7,640","-710","-8.5","886,962","7,012,107,720","8,090","8,200","7,640","363,271,242,880","0.02","47,548,592",,,
485,036630,세종텔레콤,"603","-20","-3.2","8,411,207","5,133,084,801","617","621","601","361,996,653,978","0.02","600,326,126",,,
486,241770,메카로,"36,000","-1,650","-4.4","32,429","1,184,054,650","36,750","37,500","35,300","359,321,040,000","0.02","9,981,140",,,
487,004130,대덕GDS,"17,450","-450","-2.5","261,296","4,637,771,600","17,300","18,250","17,250","359,044,446,850","0.02","20,575,613",,,
488,008490,서흥,"31,000","-450","-1.4","22,008","686,852,700","31,200","31,600","30,950","358,642,503,000","0.02","11,569,113",,,
489,260930,씨티케이코스메틱스,"35,300","-1,100","-3.0","26,937","955,594,450","35,700","36,350","35,150","357,311,930,300","0.02","10,122,151",,,
490,001630,종근당홀딩스,"71,300","-2,900","-3.9","23,884","1,718,522,600","73,100","73,300","71,200","357,203,089,300","0.02","5,009,861",,,
491,007690,국도화학,"61,400","-800","-1.3","9,748","602,640,900","61,700","62,200","61,200","356,771,822,400","0.02","5,810,616",,,
492,030520,한글과컴퓨터,"15,450","-900","-5.5","176,844","2,807,725,550","16,100","16,300","15,450","356,620,159,950","0.02","23,082,211",,,
493,100120,뷰웍스,"35,650","-2,000","-5.3","78,576","2,879,733,500","37,150","37,600","35,650","356,566,487,250","0.02","10,001,865",,,
494,217480,에스디생명공학,"16,000","-1,300","-7.5","391,098","6,419,376,800","16,700","16,900","15,750","355,761,056,000","0.02","22,235,066",,,
495,136490,선진,"14,950","-350","-2.3","40,124","599,548,050","15,250","15,250","14,750","355,505,079,800","0.02","23,779,604",,,
496,015750,성우하이텍,"5,900","-300","-4.8","250,821","1,536,278,020","6,180","6,350","5,900","354,000,000,000","0.02","60,000,000",,,
497,115960,연우,"28,500","-1,450","-4.8","62,690","1,814,397,200","29,200","29,650","28,500","353,343,000,000","0.02","12,398,000",,,
498,037710,광주신세계,"220,500","-6,000","-2.6","1,036","230,107,500","224,500","225,500","220,500","352,800,000,000","0.02","1,600,000",,,
499,094800,맵스리얼티1,"3,800","-15","-0.4","94,810","360,515,320","3,815","3,830","3,795","352,770,457,800","0.02","92,834,331",,,
500,004870,티웨이홀딩스,"4,970","-270","-5.2","1,258,844","6,365,250,835","5,000","5,200","4,965","352,668,536,080","0.02","70,959,464",,,
501,228760,지노믹트리,"45,300","-400","-0.9","2,049","93,210,800","45,700","46,900","45,000","351,485,372,700","0.02","7,759,059",,,
502,052710,아모텍,"36,000","-4,150","-10.3","472,613","17,618,085,200","39,200","39,200","35,800","350,762,616,000","0.02","9,743,406",,,
503,086980,쇼박스,"5,590","-160","-2.8","443,170","2,507,405,200","5,630","5,820","5,550","349,934,000,000","0.02","62,600,000",,,
504,041190,우리기술투자,"4,155","-100","-2.4","2,349,221","9,933,625,450","4,245","4,365","4,080","349,020,000,000","0.02","84,000,000",,,
505,122900,아이마켓코리아,"9,700","-350","-3.5","54,733","536,615,140","9,970","10,000","9,660","348,650,398,000","0.02","35,943,340",,,
506,070960,용평리조트,"7,230","-410","-5.4","768,532","5,628,531,690","7,530","7,530","7,190","348,003,997,590","0.02","48,133,333",,,
507,225570,넷게임즈,"3,000","-110","-3.5","646,495","1,981,119,110","2,950","3,195","2,950","347,310,678,000","0.02","115,770,226",,,
508,044340,위닉스,"19,400","250","1.3","1,256,763","24,907,245,600","18,800","20,600","18,750","346,744,445,000","0.02","17,873,425",,,
509,095660,네오위즈,"15,800","-550","-3.4","1,058,602","17,267,083,750","15,900","17,000","15,700","346,257,126,400","0.02","21,915,008",,,
510,016450,한세예스24홀딩스,"8,650","-340","-3.8","31,014","271,053,470","8,940","8,990","8,650","346,000,000,000","0.02","40,000,000",,,
511,214390,경보제약,"14,450","-750","-4.9","270,212","3,959,754,150","14,800","15,050","14,300","345,454,127,000","0.02","23,906,860",,,
512,007340,디티알오토모티브,"34,550","-800","-2.3","11,973","412,460,400","34,800","35,250","33,850","345,292,872,750","0.02","9,994,005",,,
513,067290,JW신약,"8,460","-860","-9.2","1,532,570","13,496,410,090","8,960","9,090","8,420","344,980,137,240","0.02","40,777,794",,,
514,052020,에스티큐브,"12,850","-2,500","-16.3","1,539,888","21,319,682,150","14,200","15,200","12,150","343,231,736,850","0.02","26,710,641",,,
515,030610,교보증권,"9,530","-520","-5.2","238,382","2,288,712,750","9,810","9,860","9,480","343,080,000,000","0.02","36,000,000",,,
516,060250,NHN한국사이버결제,"17,400","-900","-4.9","224,804","3,992,088,400","17,800","18,100","17,400","342,736,552,200","0.02","19,697,503",,,
517,180400,캔서롭,"55,400","-5,400","-8.9","182,528","10,522,179,500","57,900","60,800","54,900","340,564,408,800","0.02","6,147,372",,,
518,121800,비덴트,"16,050","-850","-5.0","390,633","6,419,774,800","16,300","17,150","16,000","339,918,022,650","0.02","21,178,693",,,
519,032500,케이엠더블유,"21,050","-1,550","-6.9","207,228","4,396,994,350","21,500","22,100","20,550","338,905,000,000","0.02","16,100,000",,,
520,084690,대상홀딩스,"9,350","-240","-2.5","54,579","513,022,270","9,490","9,510","9,340","338,587,230,300","0.02","36,212,538",,,
521,036540,SFA반도체,"2,400","-140","-5.5","875,832","2,159,579,265","2,475","2,530","2,400","338,583,856,800","0.02","141,076,607",,,
522,002795,아모레G우,"52,200","-2,300","-4.2","5,805","305,479,330","54,200","54,200","52,200","336,364,794,000","0.02","6,443,770",,,
523,215360,우리산업,"36,650","-1,350","-3.6","250,927","9,311,853,750","36,600","38,300","36,600","334,693,773,950","0.02","9,132,163",,,
524,232140,와이아이케이,"5,410","-440","-7.5","535,209","2,952,186,200","5,680","5,680","5,400","334,275,546,960","0.02","61,788,456",,,
525,001200,유진투자증권,"3,440","-260","-7.0","964,049","3,369,553,420","3,605","3,605","3,410","333,220,477,920","0.02","96,866,418",,,
526,007160,사조산업,"66,400","-1,200","-1.8","21,210","1,415,451,500","67,200","67,900","65,900","332,000,000,000","0.02","5,000,000",,,
527,000480,조선내화,"82,900","-1,100","-1.3","850","70,544,600","82,800","83,400","82,800","331,600,000,000","0.02","4,000,000",,,
528,097230,한진중공업,"3,125","-100","-3.1","355,463","1,120,890,930","3,160","3,205","3,120","331,414,087,500","0.02","106,052,508",,,
529,002250,알보젠코리아,"27,850","-300","-1.1","6,411","177,791,600","27,700","27,950","27,500","330,243,127,700","0.02","11,857,922",,,
530,009680,모토닉,"10,000","-450","-4.3","61,282","619,516,230","10,300","10,400","9,940","330,000,000,000","0.02","33,000,000",,,
531,074610,나노메딕스,"15,000","-750","-4.8","1,234,802","19,241,794,950","15,400","16,650","13,900","328,292,085,000","0.02","21,886,139",,,
532,152330,코리아오토글라스,"16,400","-200","-1.2","32,598","535,896,150","16,500","16,650","16,300","328,000,000,000","0.02","20,000,000",,,
533,014620,성광벤드,"11,450","-700","-5.8","222,809","2,627,163,150","11,950","12,150","11,450","327,470,000,000","0.02","28,600,000",,,
534,095570,AJ네트웍스,"6,980","-210","-2.9","16,703","117,524,200","7,190","7,190","6,980","326,819,619,100","0.02","46,822,295",,,
535,122990,와이솔,"14,150","-750","-5.0","303,177","4,323,360,400","14,700","14,700","13,950","325,080,161,450","0.02","22,973,863",,,
536,060280,큐렉소,"9,740","-310","-3.1","205,380","2,039,334,000","9,610","10,300","9,610","324,899,644,220","0.02","33,357,253",,,
537,086390,유니테스트,"15,300","-800","-5.0","450,459","7,072,008,650","15,700","16,100","15,300","323,352,127,800","0.02","21,134,126",,,
538,000020,동화약품,"11,550","-700","-5.7","528,504","6,175,767,200","11,750","12,000","11,350","322,608,478,500","0.02","27,931,470",,,
539,023160,태광,"12,150","-850","-6.5","124,391","1,565,561,650","12,850","12,950","12,150","321,975,000,000","0.02","26,500,000",,,
540,104700,한국철강,"34,950","-250","-0.7","18,165","635,816,900","35,350","36,600","34,200","321,889,500,000","0.02","9,210,000",,,
541,024660,하림홀딩스,"3,575","-180","-4.8","161,326","595,205,020","3,730","3,795","3,445","318,736,954,250","0.02","89,157,190",,,
542,255440,야스,"24,600","-900","-3.5","45,021","1,114,454,900","24,700","25,200","24,000","318,078,000,000","0.02","12,930,000",,,
543,000155,두산우,"72,100","-700","-1.0","3,583","258,601,800","72,700","72,700","71,800","318,038,435,400","0.02","4,411,074",,,
544,195870,해성디에스,"18,700","-1,050","-5.3","193,848","3,684,454,000","19,450","19,500","18,650","317,900,000,000","0.02","17,000,000",,,
545,033240,자화전자,"17,550","-950","-5.1","285,565","5,098,108,800","18,000","18,550","17,350","314,145,000,000","0.02","17,900,000",,,
546,001390,KG케미칼,"25,150","-1,150","-4.4","245,432","6,210,098,200","25,500","25,800","24,800","312,687,133,200","0.02","12,432,888",,,
547,025000,KPX케미칼,"64,600","-100","-0.2","1,497","95,881,800","64,900","64,900","63,200","312,664,000,000","0.02","4,840,000",,,
548,268280,미원에스씨,"60,100","-400","-0.7","10,155","608,742,300","60,500","60,500","59,000","311,264,571,100","0.02","5,179,111",,,
549,036200,유니셈,"10,150","-650","-6.0","1,695,116","17,457,977,030","10,600","10,850","9,860","311,241,863,450","0.02","30,664,223",,,
550,046210,파나진,"9,710","-540","-5.3","294,920","2,925,994,830","9,950","10,250","9,710","310,432,195,600","0.02","31,970,360",,,
551,086890,이수앱지스,"11,800","-1,700","-12.6","733,819","9,085,381,100","12,700","13,150","11,450","307,051,458,000","0.02","26,021,310",,,
552,029460,케이씨,"22,650","-1,350","-5.6","31,961","733,804,000","23,600","23,600","22,550","306,999,096,600","0.02","13,554,044",,,
553,228850,레이언스,"18,500","-500","-2.6","24,935","461,740,250","18,550","19,050","18,300","306,933,759,000","0.02","16,591,014",,,
554,011040,경동제약,"23,050","-1,200","-5.0","37,293","870,876,700","24,150","24,150","22,850","305,988,750,000","0.02","13,275,000",,,
555,013030,하이록코리아,"22,450","-1,150","-4.9","21,556","491,064,900","23,200","23,350","22,400","305,617,058,400","0.02","13,613,232",,,
556,007720,대명코퍼레이션,"3,030","-15","-0.5","555,966","1,671,432,915","2,970","3,055","2,960","305,425,363,500","0.02","100,800,450",,,
557,241710,코스메카코리아,"57,000","-2,100","-3.6","12,504","735,274,700","58,100","60,200","57,000","304,380,000,000","0.02","5,340,000",,,
558,192440,슈피겐코리아,"48,850","-2,550","-5.0","29,368","1,468,909,950","50,600","51,400","48,850","303,669,332,550","0.02","6,216,363",,,
559,067160,아프리카TV,"26,700","-100","-0.4","179,023","4,691,663,850","26,400","26,700","25,650","301,845,288,900","0.02","11,305,067",,,
560,030210,KTB투자증권,"4,995","-425","-7.8","1,761,503","8,893,667,970","5,110","5,280","4,885","301,268,889,540","0.02","60,314,092",,,
561,001500,현대차투자증권,"10,250","-500","-4.6","91,463","945,489,000","10,450","10,500","10,150","300,705,387,750","0.02","29,337,111",,,
562,003120,일성신약,"113,000","-3,500","-3.0","248","28,382,500","116,000","116,500","113,000","300,580,000,000","0.02","2,660,000",,,
563,052260,SK바이오랜드,"19,950","-1,050","-5.0","127,471","2,573,888,500","20,400","20,600","19,950","299,250,000,000","0.02","15,000,000",,,
564,044820,코스맥스비티아이,"31,150","-1,250","-3.9","21,712","683,544,000","31,050","32,350","31,050","299,162,139,150","0.02","9,603,921",,,
565,054950,제이브이엠,"47,200","-1,750","-3.6","23,756","1,146,033,400","48,950","49,400","47,200","298,818,857,600","0.02","6,330,908",,,
566,042520,한스바이오메드,"30,300","-1,400","-4.4","195,585","5,947,680,800","30,800","31,400","29,600","298,693,067,100","0.02","9,857,857",,,
567,035510,신세계 I&C,"173,500","-9,500","-5.2","41,393","7,388,357,500","178,000","186,500","170,000","298,420,000,000","0.02","1,720,000",,,
568,102260,동성코퍼레이션,"6,550","-120","-1.8","227,299","1,501,971,880","6,600","6,720","6,550","297,664,553,500","0.02","45,444,970",,,
569,272550,삼양패키징,"20,850","-600","-2.8","17,937","376,447,050","21,050","21,200","20,850","296,274,413,400","0.02","14,209,804",,,
570,011930,신성이엔지,"1,710","-55","-3.1","1,232,679","2,125,109,400","1,730","1,775","1,690","295,819,249,230","0.02","172,993,713",,,
571,048550,SM C&C,"3,145","-195","-5.8","1,695,308","5,426,538,215","3,205","3,290","3,135","295,759,026,770","0.02","94,041,026",,,
