순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수(천주),외국인 보유주식수,외국인 지분율(%),총카운트
221,115450,지트리비앤티,"41,400","-3,100","-7.0","393,365","16,751,671,550","42,600","44,000","41,150","958,075,984,800","0.05","23,141,932",,,
222,006840,AK홀딩스,"72,100","-1,800","-2.4","30,734","2,236,982,900","72,600","73,700","72,000","955,149,148,100","0.05","13,247,561",,,
223,102940,코오롱생명과학,"82,900","-6,800","-7.6","142,001","12,248,364,500","87,700","89,300","82,900","946,084,312,400","0.05","11,412,356",,,
224,001230,동국제강,"9,880","-420","-4.1","1,394,856","14,301,970,620","10,500","10,800","9,880","942,875,441,560","0.05","95,432,737",,,
225,071320,지역난방공사,"81,200","-1,300","-1.6","7,029","569,918,800","82,400","82,400","80,100","940,194,012,800","0.05","11,578,744",,,
226,041510,에스엠,"42,700","-1,350","-3.1","361,523","15,660,576,800","42,300","44,300","42,000","928,966,810,100","0.05","21,755,663",,,
227,005690,파미셀,"15,900","1,400","9.7","5,560,442","83,254,366,750","14,050","15,900","14,050","928,688,949,000","0.05","58,408,110",,,
228,020560,아시아나항공,"4,510","-175","-3.7","1,510,246","6,859,184,650","4,630","4,635","4,500","925,611,175,940","0.05","205,235,294",,,
229,049950,미래컴퍼니,"120,000","-1,000","-0.8","108,757","13,407,127,500","117,700","128,000","117,600","919,299,360,000","0.05","7,660,828",,,
230,001430,세아베스틸,"25,550","-950","-3.6","57,582","1,509,305,700","26,950","27,350","25,550","916,277,140,450","0.05","35,862,119",,,
231,018250,애경산업,"35,000","1,000","2.9","4,173,167","146,616,720,750","33,000","36,750","32,850","914,281,725,000","0.05","26,122,335",,,
232,093370,후성,"9,840","-260","-2.6","1,065,348","10,589,958,650","9,860","10,100","9,800","909,213,569,520","0.05","92,399,753",,,
233,145720,덴티움,"81,600","-2,400","-2.9","88,956","7,285,706,800","83,000","83,500","80,900","903,216,528,000","0.05","11,068,830",,,
234,086520,에코프로,"40,600","-1,100","-2.6","890,935","36,749,057,550","40,450","42,100","40,150","896,861,754,600","0.05","22,090,191",,,
235,010780,아이에스동서,"29,050","-1,600","-5.2","151,117","4,464,573,600","29,900","30,250","29,000","895,547,909,550","0.05","30,827,811",,,
236,170900,동아에스티,"106,000","-7,000","-6.2","60,389","6,541,328,000","109,500","110,500","106,000","895,050,008,000","0.05","8,443,868",,,
237,214370,케어젠,"83,100","-6,400","-7.2","117,932","10,099,687,700","87,300","87,900","83,100","892,743,300,000","0.05","10,743,000",,,
238,200130,콜마비앤에이치,"30,200","-1,400","-4.4","71,134","2,204,121,450","31,450","31,900","30,100","892,215,451,600","0.05","29,543,558",,,
239,039030,이오테크닉스,"72,500","-2,300","-3.1","80,027","5,970,791,300","74,500","76,100","72,500","890,345,385,000","0.05","12,280,626",,,
240,036420,제이콘텐트리,"7,800","-200","-2.5","1,514,111","12,022,753,110","7,700","8,070","7,690","889,738,059,600","0.05","114,068,982",,,
241,085620,미래에셋생명,"4,980","-150","-2.9","369,286","1,849,316,485","5,080","5,090","4,980","881,540,621,220","0.05","177,016,189",,,
242,272450,진에어,"29,350","-650","-2.2","103,899","3,052,860,400","29,700","29,850","29,050","880,500,000,000","0.05","30,000,000",,,
243,003470,유안타증권,"4,395","-345","-7.3","1,997,992","8,941,959,850","4,575","4,575","4,370","877,226,951,520","0.05","199,596,576",,,
244,064760,티씨케이,"75,000","-4,000","-5.1","73,087","5,585,252,400","75,900","79,100","75,000","875,625,000,000","0.05","11,675,000",,,
245,058470,리노공업,"56,600","-2,400","-4.1","42,795","2,488,990,600","58,700","60,000","56,600","862,718,142,000","0.05","15,242,370",,,
246,096530,씨젠,"32,800","-2,000","-5.8","282,271","9,483,279,850","34,000","34,450","32,800","860,475,856,000","0.05","26,234,020",,,
247,105630,한세실업,"21,250","-1,050","-4.7","160,598","3,456,760,850","21,950","22,000","21,150","850,000,000,000","0.05","40,000,000",,,
248,003300,한일시멘트,"110,500","-3,000","-2.6","17,965","2,013,670,000","111,500","113,500","110,500","833,757,086,500","0.04","7,545,313",,,
249,018670,SK가스,"92,500","-1,800","-1.9","12,822","1,187,751,400","93,600","93,600","91,800","829,484,130,000","0.04","8,967,396",,,
250,145990,삼양사,"80,300","-2,400","-2.9","19,772","1,603,726,100","82,700","82,700","80,200","826,271,180,900","0.04","10,289,803",,,
